huc12,Name,AREA,PERCENTAGE
020200010103,USGS-0131199010,4501322.27355000000,6.86770210281
020200010103,USGS-0131199020,6848798.68454000000,10.44926496460
020200010103,USGS-0131199021,15520598.55750000000,23.67989689970
020200010103,USGS-0131199022,16189998.81050000000,24.70120602750
020200010103,USGS-0131199029,1256380.19286000000,1.91686894829
020200010103,USGS-0131199035,56578319.45750000000,86.32197827620
020200010103,USGS-0131199040,58703306.28890000000,89.56408707080
020200010103,USGS-0131199045,1235545.85175000000,1.88508183341
020200010103,USGS-0131199050,63842856.90010000000,97.40553906980
020200010103,USGS-0131199710,65440091.57090000000,99.84245232340
020200010103,USGS-01312000,65440091.57090000000,99.84245232340
020200010103,USGS-01315500,65441153.82030000000,99.84407300560
020200010103,USGS-01372058,65441127.02810000000,99.84403212840
020200010103,USGS-04268000,102239.35086300000,0.15598736599
