HydroID,DrainID,Name,Descript,GlobalWshd,RELATEDOID,WarningMsg,HUCID,Edited,Shape_Leng,Shape_Area,waterID,AverageSam,SampleCoun,areaskqm
2,2,USGS-440654075073001,SS BP v1.3.4,1,,,04150302,0,5920.00110150000,1133000.40343000000,275.00000000000,0.39160000000,5,1.13300040343
2,2,USGS-440647075041601,SS BP v1.3.4,1,,,04150302,0,4940.00059986000,712500.22879100000,276.00000000000,0.27120000000,5,0.71250022879
2,2,USGS-440615073413201,SS BP v1.3.4,1,,,02010008,0,29200.00520130000,16873206.04410000000,277.00000000000,0.08380000000,10,16.87320604410
2,2,USGS-440613075144301,SS BP v1.3.4,1,,,04150302,0,5120.00089979000,663100.24944100000,278.00000000000,0.12850000000,12,0.66310024944
2,2,USGS-440610075143701,SS BP v1.3.4,1,,,04150302,0,4160.00080013000,352300.10453200000,279.00000000000,0.20800000000,5,0.35230010453
2,2,USGS-440609073491401,SS BP v1.3.4,1,,,02010004,0,5120.00149870000,808300.30133700000,280.00000000000,0.18722222222,9,0.80830030134
2,2,USGS-440606075200201,SS BP v1.3.4,1,,,04150302,0,5780.00080013000,667200.25161300000,281.00000000000,0.05940000000,10,0.66720025161
2,2,USGS-440603075143001,SS BP v1.3.4,1,,,04150302,0,2980.00060082000,229600.10063600000,282.00000000000,0.33360000000,5,0.22960010064
2,2,USGS-440530075163801,SS BP v1.3.4,1,,,04150302,0,5660.00069904000,783200.26997600000,283.00000000000,0.57255555556,6,0.78320026998
2,2,USGS-440455074014401,SS BP v1.3.4,1,,,02020001,0,1860.00040054000,125500.02203000000,284.00000000000,0.26975000000,4,0.12550002203
2,2,USGS-440451073293001,SS BP v1.3.4,1,,,02010008,0,8340.00170040000,1323500.53449000000,285.00000000000,0.09100000000,2,1.32350053449
2,2,USGS-440430075142201,SS BP v1.3.4,1,,,04150302,0,2680.00049925000,237800.10371200000,286.00000000000,0.42900000000,5,0.23780010371
2,2,USGS-440403074021901,SS BP v1.3.4,1,,,02020001,0,5040.00099945000,575200.22293100000,287.00000000000,0.59633333333,3,0.57520022293
