Name,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_C,MAJORITY_P,MINORITY,MINORITY_C,MINORITY_P,MEDIAN,PCT90
21NYDECA_WQX-07044100,63,5906.00000000000,7011622.80634000000,82,82,0,82.00000000000,0.00000000000,484292.00000000000,1,82,5906,16.15340000000,82,5906,16.15340000000,82,82
21NYDECA_WQX-07034701,64,4699.00000000000,5578668.39943000000,82,82,0,82.00000000000,0.00000000000,385318.00000000000,1,82,4699,27.91710000000,82,4699,27.91710000000,82,82
21NYDECA_WQX-07034301,65,861.00000000000,1022182.05829000000,82,82,0,82.00000000000,0.00000000000,70602.00000000000,1,82,861,26.85590000000,82,861,26.85590000000,82,82
21NYDECA_WQX-07024201,66,31932.00000000000,37909776.40570000000,82,82,0,82.00000000000,0.00000000000,2618424.00000000000,1,82,31932,14.14380000000,82,31932,14.14380000000,82,82
21NYDECA_WQX-07010005,67,2257875.00000000000,2680556695.54000000000,82,82,0,82.00000000000,0.00000000000,185145750.00000000000,1,82,2257875,20.67890000000,82,2257875,20.67890000000,82,82
21NYDECA_WQX-06032102,68,9858.00000000000,11703450.32590000000,82,82,0,82.00000000000,0.00000000000,808356.00000000000,1,82,9858,3.25580000000,82,9858,3.25580000000,82,82
21NYDECA_WQX-06031802,70,7.00000000000,8310.42323813000,82,82,0,82.00000000000,0.00000000000,574.00000000000,1,82,7,0.02540000000,82,7,0.02540000000,82,82
21NYDECA_WQX-06031715,71,4446.00000000000,5278305.95953000000,82,82,0,82.00000000000,0.00000000000,364572.00000000000,1,82,4446,2.57060000000,82,4446,2.57060000000,82,82
21NYDECA_WQX-06031301,73,2052.00000000000,2436141.21209000000,82,82,0,82.00000000000,0.00000000000,168264.00000000000,1,82,2052,1.03670000000,82,2052,1.03670000000,82,82
21NYDECA_WQX-06031201,74,19884.00000000000,23606350.80960000000,82,82,0,82.00000000000,0.00000000000,1630488.00000000000,1,82,19884,2.72680000000,82,19884,2.72680000000,82,82
Bridge at Bellona,75,41400.00000000000,49150217.43700000000,82,82,0,82.00000000000,0.00000000000,3394800.00000000000,1,82,41400,74.73060000000,82,41400,74.73060000000,82,82
Bridge @ Blakley Rd.,76,70257.00000000000,83409343.63450000000,82,82,0,82.00000000000,0.00000000000,5761074.00000000000,1,82,70257,63.90140000000,82,70257,63.90140000000,82,82
Brandy Bay Mouth,77,267.00000000000,316983.28636900000,82,82,0,82.00000000000,0.00000000000,21894.00000000000,1,82,267,3.50160000000,82,267,3.50160000000,82,82
Bolter Creek,79,3293.00000000000,3909460.53188000000,82,82,0,82.00000000000,0.00000000000,270026.00000000000,1,82,3293,11.81050000000,82,3293,11.81050000000,82,82
Boiceville,80,365.00000000000,433329.21170300000,82,82,0,82.00000000000,0.00000000000,29930.00000000000,1,82,365,3.08460000000,82,365,3.08460000000,82,82
Boardman Creek,81,4346.00000000000,5159585.62756000000,82,82,0,82.00000000000,0.00000000000,356372.00000000000,1,82,4346,23.29920000000,82,4346,23.29920000000,82,82
Blakeslee Hill,82,2280.00000000000,2706823.56899000000,82,82,0,82.00000000000,0.00000000000,186960.00000000000,1,82,2280,3.09360000000,82,2280,3.09360000000,82,82
Big Stream Mouth @ Glenora Point,83,13685.00000000000,16246877.43050000000,82,82,0,82.00000000000,0.00000000000,1122170.00000000000,1,82,13685,16.92750000000,82,13685,16.92750000000,82,82
