HydroID,DrainID,Name,Descript,GlobalWshd,RELATEDOID,WarningMsg,HUCID,Edited,Shape_Leng,Shape_Area,sum_Averag,Point_Coun,ID,Field
2,2,USGS-434411074420801,SS BP v1.3.4,1,,,04150101,0,460.00020027200,6900.00500679000,0.05300000000,1,1509,0.00000000000
2,2,USGS-434410073591101,SS BP v1.3.4,1,,,02020001,0,6440.00170040000,1278000.39413000000,0.00000000000,0,1510,0.00000000000
2,2,USGS-434359074471801,SS BP v1.3.4,1,,,04150101,0,4180.00080013000,427900.16912000000,0.49522222222,1,1511,0.00000000000
2,2,USGS-434353074530001,SS BP v1.3.4,1,,,04150101,0,28840.00519900000,11670104.26720000000,0.00000000000,0,1512,0.00000000000
2,2,USGS-434351074560901,SS BP v1.3.4,1,,,04150101,0,1780.00040054000,112200.06208400000,0.24100000000,1,1513,0.00000000000
2,2,USGS-434350074452901,SS BP v1.3.4,1,,,04150101,0,14480.00280090000,4873801.67870000000,0.60000000000,5,1514,0.00000000000
2,2,USGS-434348074561701,SS BP v1.3.4,1,,,04150101,0,2320.00040054000,166400.08661700000,0.46200000000,2,1515,0.00000000000
2,2,USGS-434344074562701,SS BP v1.3.4,1,,,04150101,0,3800.00050068000,479200.17974400000,0.64500000000,3,1516,0.00000000000
2,2,USGS-434343074013501,SS BP v1.3.4,1,,,02020001,0,6200.00119925000,1291900.49957000000,0.05933333333,1,1517,0.00000000000
2,2,USGS-434342074442901,SS BP v1.3.4,1,,,04150101,0,9160.00200081000,2493000.84222000000,0.00000000000,0,1518,0.00000000000
2,2,USGS-434341074563401,SS BP v1.3.4,1,,,04150101,0,4280.00050068000,522100.18174700000,0.83000000000,4,1519,0.00000000000
2,2,USGS-434340074444201,SS BP v1.3.4,1,,,04150101,0,10300.00190070000,3143801.05694000000,0.23600000000,2,1520,0.00000000000
2,2,USGS-434339074451401,SS BP v1.3.4,1,,,04150101,0,11880.00240040000,3942001.34480000000,0.46800000000,4,1521,0.00000000000
2,2,USGS-434338074450101,SS BP v1.3.4,1,,,04150101,0,11580.00220110000,3804001.30477000000,0.35300000000,3,1522,0.00000000000
2,2,USGS-434336075205601,SS BP v1.3.4,1,,,04150101,0,5340.00080013000,527900.18706800000,0.05520000000,1,1523,0.00000000000
2,2,USGS-434335074564501,SS BP v1.3.4,1,,,04150101,0,5020.00070000000,584100.20865400000,1.01000000000,5,1524,0.00000000000
2,2,USGS-434331074565601,SS BP v1.3.4,1,,,04150101,0,6160.00070000000,985500.33990100000,1.14800000000,6,1525,0.00000000000
2,2,USGS-434329074570601,SS BP v1.3.4,1,,,04150101,0,6640.00070000000,1066300.34189000000,1.28150000000,7,1526,0.00000000000
2,2,USGS-434324074571301,SS BP v1.3.4,1,,,04150101,0,7380.00100041000,1157300.37043000000,1.40650000000,8,1527,0.00000000000
2,2,USGS-434317075125401,SS BP v1.3.4,1,,,04150101,0,2940.00089932000,212900.07646100000,0.15750000000,1,1528,0.00000000000
2,2,USGS-434308075152201,SS BP v1.3.4,1,,,04150101,0,92780.01539950000,81732329.60990000000,0.44439516129,3,1529,0.00000000000
2,2,USGS-434308074034901,SS BP v1.3.4,1,,,02020001,0,5220.00139952000,588900.24682500000,0.08866666667,1,1530,0.00000000000
2,2,USGS-434307074185401,SS BP v1.3.4,1,,,02020001,0,7500.00119972000,2256700.85291000000,0.09137500000,1,1531,0.00000000000
2,2,USGS-434305074185601,SS BP v1.3.4,1,,,02020001,0,6660.00119877000,965500.32303300000,0.14666666667,1,1532,0.00000000000
2,2,USGS-434304074070901,SS BP v1.3.4,1,,,02020001,0,2820.00019980000,256100.05303400000,0.00000000000,0,1533,0.00000000000
2,2,USGS-434301074453701,SS BP v1.3.4,1,,,04150101,0,4240.00059891000,395900.16262500000,0.52850000000,1,1534,0.00000000000
2,2,USGS-434300073530301,SS BP v1.3.4,1,,,02020001,0,6160.00109959000,1029200.37041000000,0.02700000000,1,1535,0.00000000000
2,2,USGS-434256074453801,SS BP v1.3.4,1,,,04150101,0,7620.00119972000,1294000.45796000000,0.44669230769,1,1536,0.00000000000
