HydroID,DrainID,Name,Descript,GlobalWshd,RELATEDOID,WarningMsg,HUCID,Edited,waterID,AverageSam,SampleCoun,Shape_Leng,Shape_Area,sum_Size,Point_Coun
2,2,21NYDECA_WQX-06031900,SS BP v1.3.4,1,,,02050103,0,72.00000000000,0.34900000000,6,32980.00550080000,19669907.41960000000,0.00000000000,0
2,2,21NYDECA_WQX-06031802,SS BP v1.3.4,1,,,02050103,0,73.00000000000,0.26566666667,6,44220.00779720000,36257213.62430000000,0.00000000000,0
2,2,21NYDECA_WQX-06031715,SS BP v1.3.4,1,,,02050103,0,74.00000000000,0.23420000000,10,128460.02330300000,234362287.72300000000,1.00000000000,1
2,2,21NYDECA_WQX-06031600,SS BP v1.3.4,1,,,02050103,0,75.00000000000,0.07762500000,8,89860.01779650000,147503755.82200000000,0.00000000000,0
2,2,21NYDECA_WQX-06031301,SS BP v1.3.4,1,,,02050103,0,76.00000000000,0.26450000000,6,119960.02210200000,291522709.45700000000,3.00000000000,2
2,2,21NYDECA_WQX-06031201,SS BP v1.3.4,1,,,02050103,0,77.00000000000,0.65820000000,10,272720.05200200000,889344733.92000000000,3.00000000000,2
2,2,Bridge at Bellona,SS BP v1.3.4,1,,,04140201,0,78.00000000000,2.99454545455,11,56580.01009700000,65735824.26350000000,1.00000000000,1
2,2,Bridge @ Blakley Rd.,SS BP v1.3.4,1,,,04140201,0,79.00000000000,4.04071428571,14,71100.01320120000,130487448.32400000000,10.00000000000,6
2,2,Brandy Bay Mouth,SS BP v1.3.4,1,,,04140201,0,80.00000000000,0.22875000000,8,17140.00329880000,9053903.27851000000,0.00000000000,0
2,2,Bradley Creek Carrie Ann Dr,SS BP v1.3.4,1,,,02050103,0,81.00000000000,0.14285714286,7,33900.00640060000,22262608.30690000000,0.00000000000,0
2,2,Bolter Creek,SS BP v1.3.4,1,,,04140201,0,82.00000000000,0.74917241379,29,43320.00889920000,33087912.38660000000,0.00000000000,0
2,2,Boiceville,SS BP v1.3.4,1,,,04140201,0,83.00000000000,0.37028301887,53,45420.00820110000,44281416.47480000000,0.00000000000,0
2,2,Boardman Creek,SS BP v1.3.4,1,,,04140201,0,84.00000000000,1.03189285714,28,37000.00649930000,22141808.20020000000,0.00000000000,0
2,2,Blakeslee Hill,SS BP v1.3.4,1,,,04140201,0,85.00000000000,0.22375000000,40,64500.01270060000,87569732.85180000000,0.00000000000,0
2,2,Big Stream Mouth @ Glenora Point,SS BP v1.3.4,1,,,04140201,0,86.00000000000,1.12776923077,26,72900.01459120000,95971535.68390000000,0.00000000000,0
2,2,Big Stream @ Dundee-Glenora Rd,SS BP v1.3.4,1,,,04140201,0,87.00000000000,1.71913043478,23,1980.00059986000,9800.00400066000,0.00000000000,0
2,2,Big Salmon Creek Above Fork - Rapid Response,SS BP v1.3.4,1,,,04140201,0,88.00000000000,2.63000000000,2,70520.01280170000,93326834.48290000000,6.00000000000,4
